City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Miracema Do Tocantins,BR,89.2,heavy intensity rain,-9.56,-48.4,Miami Apart Hotel
347,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
349,Bull Savanna,JM,77.2,overcast clouds,17.89,-77.59,Big Red's
354,Palmerston,AU,82.4,broken clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
357,Porto Nacional,BR,87.8,shower rain,-10.71,-48.42,Vila Real Hotel
365,Aswan,EG,77.02,clear sky,24.09,32.91,Nuba Nile
366,Namatanai,PG,80.04,light rain,-3.67,152.43,Namatanai Hotel
367,Marawi,PH,75.99,heavy intensity rain,8.0,124.29,Derogongan Residence
368,Alta Floresta,BR,86.0,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
369,Higueron,MX,86.0,clear sky,18.58,-99.17,HOTEL IMPERIAL JOJUTLA
370,Waingapu,ID,79.7,broken clouds,-9.66,120.26,Pondok Wisata Elim
371,Beitbridge,ZW,75.0,broken clouds,-22.22,30.0,PETERS MOTEL & CONFERENCE CENTRE
373,Sao Filipe,CV,80.08,clear sky,14.9,-24.5,Tortuga B&B
376,Banjar,ID,77.94,overcast clouds,-8.19,114.97,The Hamsa Resort
381,Ormara,PK,76.35,clear sky,25.21,64.64,
383,Malpe,IN,80.6,mist,13.35,74.72,Hotel Sri Krishna Residency
390,Hobyo,SO,81.34,clear sky,5.35,48.53,Osmani Hotel
394,Kutum,SD,80.11,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
395,Alibag,IN,84.2,haze,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
398,Kirakira,SB,79.68,overcast clouds,-10.45,161.92,SanBiz Lodge
400,Mabaruma,GY,83.71,light rain,8.2,-59.78,
401,Davila,PH,79.92,light rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
403,Jizan,SA,87.8,clear sky,17.33,42.67,شهدان. ابوالحجر
407,Sao Jose Da Coroa Grande,BR,81.5,broken clouds,-8.9,-35.15,Crôa Mares Hotel
408,Kavaratti,IN,82.24,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
409,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
417,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.08,Scoop Guest House
419,Bengkulu,ID,75.38,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
421,Murshidabad,IN,78.78,few clouds,24.18,88.27,Sourav Lodge
423,Brandon,US,87.8,broken clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
426,Aden,YE,82.58,clear sky,12.78,45.04,Sama Emirate Hotel
428,Havelock,US,75.99,scattered clouds,34.88,-76.9,Sherwood Motel
432,Basco,PH,80.33,overcast clouds,20.45,121.97,Nathaniel's Lodge
433,Padang,ID,79.02,overcast clouds,-0.95,100.35,Mercure Padang
435,Banda Aceh,ID,79.66,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
439,Sinnamary,GF,85.35,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
442,Kalmunai,LK,81.45,broken clouds,7.42,81.82,VS Villa
443,Berbera,SO,81.41,clear sky,10.44,45.01,Damal Hotel
452,Bandarbeyla,SO,77.77,clear sky,9.49,50.81,REER XOOSHLE GROUP
456,Bubaque,GW,84.33,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
459,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
460,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
461,Kununurra,AU,78.8,broken clouds,-15.77,128.73,Hotel Kununurra
470,Maumere,ID,79.92,overcast clouds,-8.62,122.21,Sylvia Hotel
472,Pemba,MZ,78.8,broken clouds,-12.97,40.52,Guesthouse Samotina
488,Tondano,ID,75.2,few clouds,1.3,124.91,Villa Bella
490,Fare,PF,80.53,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
495,Manggar,ID,78.96,light rain,-2.88,108.27,Guest Hotel
497,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
499,Omboue,GA,75.27,light rain,-1.57,9.26,Hotel Olako
502,Meulaboh,ID,76.98,overcast clouds,4.14,96.13,Kost Pria
503,Bireun,ID,78.71,light rain,5.2,96.7,OYO 2303 Hotel Blang Raya
513,Gashua,NG,86.49,overcast clouds,12.87,11.05,Forte Oil - Old Lorry Park
515,Kasongo-Lunda,CD,75.13,light rain,-6.47,16.82,
516,Bafata,GW,88.47,clear sky,12.17,-14.75,
520,Sabang,ID,81.86,overcast clouds,5.89,95.32,Hotel Citra
524,Warri,NG,78.13,light rain,5.52,5.75,BON Hotel Delta
529,Nkhata Bay,MW,76.46,light rain,-11.61,34.29,Mayoka Village
544,Poum,NC,76.57,clear sky,-20.23,164.02,Gîte kajeon
545,Cavalcante,BR,80.13,broken clouds,-13.8,-47.46,Pousada Vila dos Ipês
546,Altinopolis,BR,82.4,broken clouds,-21.03,-47.37,Hotel Vila das Palmeiras
549,Port Blair,IN,80.58,broken clouds,11.67,92.75,Fortune Resort Bay Island
552,Mandiana,GN,83.86,clear sky,10.63,-8.68,La maison De Metre Malick
562,Tanout,NE,81.0,clear sky,14.97,8.89,
563,Auki,SB,77.45,broken clouds,-8.77,160.7,Auki Motel
565,Gasa,PS,75.99,broken clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
566,Tual,ID,83.68,broken clouds,-5.67,132.75,Grand Vilia Hotel
567,Key West,US,86.0,few clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
574,Chikwawa,MW,80.38,scattered clouds,-16.03,34.8,Thawale Lodge
576,Celestun,MX,80.38,scattered clouds,20.87,-90.4,Posada Lilia
577,Buala,SB,80.62,light rain,-8.14,159.59,Maringe Lagoon Lodge
580,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
583,Baghdad,IQ,78.8,clear sky,33.34,44.4,Baghdad Hotel
586,Boca Do Acre,BR,88.16,broken clouds,-8.75,-67.4,Hotel Linhares
588,Luganville,VU,78.26,light rain,-15.53,167.17,The Espiritu Hotel
596,Khorramshahr,IR,80.6,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
