,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Buritis,BR,-15.62,-46.42,84.54,60,69,2.44,moderate rain
138,Aklavik,CA,68.22,-135.01,15.8,72,90,8.05,overcast clouds
139,Ancud,CL,-41.87,-73.82,71.01,59,0,5.82,clear sky
140,New Norfolk,AU,-42.78,147.06,54.0,76,99,1.63,overcast clouds
141,Thompson,CA,55.74,-97.86,15.8,92,90,6.93,light snow
142,Irtyshskiy,RU,58.33,68.13,28.13,98,45,7.65,scattered clouds
143,Vardo,NO,70.37,31.11,39.2,80,75,28.86,broken clouds
144,Norman Wells,CA,65.28,-126.83,5.0,71,75,10.29,broken clouds
145,Mahebourg,MU,-20.41,57.7,69.8,68,40,4.7,scattered clouds
146,Dingle,PH,11.0,122.67,75.38,88,97,6.31,heavy intensity rain
147,Mecca,SA,21.43,39.83,80.73,59,2,3.58,clear sky
148,Le Vauclin,MQ,14.55,-60.84,80.01,100,90,6.93,overcast clouds
149,Batagay-Alyta,RU,67.8,130.41,-7.6,87,92,1.9,overcast clouds
150,Makakilo City,US,21.35,-158.09,69.8,88,1,3.36,clear sky
151,Jumla,NP,29.27,82.18,46.81,59,0,5.44,clear sky
152,Hovd,MN,48.01,91.64,26.78,87,0,1.74,clear sky
153,San Policarpo,PH,12.18,125.51,77.9,87,88,4.83,overcast clouds
154,Qui Nhon,VN,13.77,109.23,76.6,86,99,14.52,light rain
155,Svetlyy,RU,54.67,20.13,44.6,87,40,8.95,scattered clouds
156,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,73,75,16.11,broken clouds
157,Uhersky Brod,CZ,49.03,17.65,48.99,98,100,1.01,light rain
158,Namibe,AO,-15.2,12.15,73.33,71,19,8.84,few clouds
159,Abha,SA,18.22,42.51,66.2,82,0,4.18,clear sky
160,Bontang,ID,0.13,117.5,76.86,86,100,5.77,overcast clouds
161,La Ronge,CA,55.1,-105.28,35.6,69,100,6.93,overcast clouds
162,Gat,IL,31.61,34.76,75.99,84,49,7.7,light rain
163,Honiara,SB,-9.43,159.95,73.4,100,40,3.36,scattered clouds
164,Baherden,TM,38.44,57.43,68.88,22,4,4.99,clear sky
165,Urumqi,CN,43.8,87.6,41.0,52,0,2.24,clear sky
166,Hobart,AU,-42.88,147.33,57.2,82,90,6.93,overcast clouds
167,Boone,US,39.03,-92.33,46.0,31,2,15.01,clear sky
168,Camacha,PT,33.08,-16.33,69.8,83,20,4.7,few clouds
169,Beringovskiy,RU,63.05,179.32,22.93,96,100,4.59,overcast clouds
170,Lalmohan,BD,22.34,90.74,78.66,87,100,6.64,overcast clouds
171,Grand Gaube,MU,-20.01,57.66,68.0,68,9,1.99,clear sky
172,Ulladulla,AU,-35.35,150.47,57.2,93,40,9.17,scattered clouds
173,Lompoc,US,34.64,-120.46,68.0,39,1,2.64,clear sky
174,Surgut,RU,61.25,73.42,32.0,96,75,11.18,light shower snow
175,San Quintin,MX,30.48,-115.95,77.02,36,2,6.69,clear sky
176,Zhigalovo,RU,54.81,105.16,14.92,87,0,1.39,clear sky
177,Keti Bandar,PK,24.14,67.45,80.28,47,0,7.45,clear sky
178,Uzhur,RU,55.3,89.83,27.59,96,99,7.14,overcast clouds
179,Alegrete,BR,-29.78,-55.79,74.35,45,0,11.83,clear sky
180,Vanavara,RU,60.34,102.28,9.66,92,48,7.34,scattered clouds
181,Ucluelet,CA,48.93,-125.55,44.6,100,20,5.82,few clouds
182,Saint-Francois,FR,46.42,3.91,66.2,63,90,4.7,overcast clouds
183,Guanica,PR,17.97,-66.91,90.0,55,100,5.01,overcast clouds
184,Shirokiy,RU,49.76,129.52,27.48,98,100,7.02,overcast clouds
185,Maragogi,BR,-9.01,-35.22,81.27,72,80,13.96,broken clouds
186,Mpika,ZM,-11.83,31.45,69.84,52,43,7.02,scattered clouds
187,Monrovia,LR,6.3,-10.8,80.8,81,47,8.46,scattered clouds
188,Batemans Bay,AU,-35.72,150.18,55.0,97,19,4.5,few clouds
189,North Branch,US,45.51,-92.98,35.01,57,31,5.99,scattered clouds
190,Nemuro,JP,43.32,145.57,56.7,82,100,22.62,overcast clouds
191,Olinda,BR,-8.01,-34.86,86.0,62,40,12.75,scattered clouds
192,Payo,ID,-3.75,103.64,72.18,95,96,1.97,overcast clouds
193,Kampot,KH,10.62,104.18,77.0,94,20,3.0,few clouds
194,Barra,BR,-11.09,-43.14,82.67,61,94,6.96,light rain
195,Deputatskiy,RU,69.3,139.9,-14.37,88,100,6.35,overcast clouds
196,Port-Gentil,GA,-0.72,8.78,80.6,88,40,11.41,scattered clouds
197,Atuona,PF,-9.8,-139.03,77.85,79,22,16.2,light rain
198,Kazanka,UA,47.85,32.82,48.2,81,90,11.18,overcast clouds
199,Hare Bay,CA,48.85,-54.01,42.8,41,22,10.29,few clouds
200,Karratha,AU,-20.74,116.85,73.06,73,47,12.59,scattered clouds
201,Horn Lake,US,34.96,-90.03,63.0,33,1,10.29,clear sky
202,Urdoma,RU,61.75,48.54,28.49,96,0,4.74,clear sky
203,Yerbogachen,RU,61.28,108.01,5.4,93,0,6.98,clear sky
204,Lasa,IT,46.62,10.7,50.0,66,75,2.24,broken clouds
205,Sisophon,KH,13.59,102.97,76.23,93,83,6.15,broken clouds
206,Maple Creek,CA,49.92,-109.48,50.0,37,3,5.82,clear sky
207,Tessalit,ML,20.2,1.01,82.38,15,82,7.72,broken clouds
208,Sistranda,NO,63.73,8.83,53.6,58,75,17.22,light rain
209,Ust-Omchug,RU,61.15,149.63,20.89,95,100,3.02,light snow
210,Niigata,JP,37.9,139.02,53.01,81,100,11.12,overcast clouds
211,Faro,PT,37.02,-7.93,66.2,82,0,4.7,clear sky
212,Geraldton,AU,-28.77,114.6,57.2,93,40,11.41,light rain
213,Kruisfontein,ZA,-34.0,24.73,66.0,73,19,7.0,few clouds
214,Guarapari,BR,-20.67,-40.5,77.0,57,75,18.34,broken clouds
215,Turukhansk,RU,65.82,87.98,28.04,99,100,11.54,light snow
