City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Ponta Do Sol,PT,2020-10-31 18:35:37,32.67,-17.1,73.0,83,20,11.41
98,Kaitangata,NZ,2020-10-31 18:35:37,-46.28,169.85,51.01,65,9,4.0
99,Codrington,AU,2020-10-31 18:33:44,-38.27,141.97,45.97,90,36,3.42
100,Tuktoyaktuk,CA,2020-10-31 18:32:53,69.45,-133.04,-4.0,83,40,4.7
101,Basco,PH,2020-10-31 18:35:38,20.45,121.97,77.76,71,81,25.61
102,Devils Lake,US,2020-10-31 18:35:38,48.11,-98.87,36.0,59,90,35.57
103,Port Elizabeth,ZA,2020-10-31 18:35:38,-33.92,25.57,64.4,77,90,4.7
104,Miraflores,MX,2020-10-31 18:35:39,19.22,-98.81,71.6,40,5,2.24
105,Bredasdorp,ZA,2020-10-31 18:32:54,-34.53,20.04,57.2,71,0,6.93
106,Luderitz,NA,2020-10-31 18:35:39,-26.65,15.16,66.88,45,0,24.0
107,Moussoro,TD,2020-10-31 18:35:39,13.64,16.49,87.53,16,0,13.94
108,Tilichiki,RU,2020-10-31 18:35:40,60.47,166.1,24.76,98,99,6.29
109,Fort Nelson,CA,2020-10-31 18:35:40,58.81,-122.7,17.6,92,75,3.36
110,Ribeira Grande,PT,2020-10-31 18:33:05,38.52,-28.7,69.8,94,75,18.34
111,Guaratuba,BR,2020-10-31 18:35:41,-25.88,-48.57,71.6,68,75,8.05
112,Kamenka,RU,2020-10-31 18:35:41,51.32,42.77,49.06,93,100,10.36
113,Promyshlennyy,RU,2020-10-31 18:35:42,67.58,63.92,31.89,99,100,19.35
114,Richards Bay,ZA,2020-10-31 18:33:23,-28.78,32.04,66.11,86,100,7.74
115,Poum,NC,2020-10-31 18:35:42,-20.23,164.02,77.22,80,0,22.53
116,Port Augusta,AU,2020-10-31 18:35:43,-32.5,137.77,55.4,82,0,5.82
117,Chumikan,RU,2020-10-31 18:33:14,54.72,135.31,33.12,95,100,27.02
118,Faanui,PF,2020-10-31 18:35:43,-16.48,-151.75,78.82,74,30,20.47
119,Papara,BR,2020-10-31 18:35:44,-3.98,-38.73,86.0,66,20,14.99
120,Lebu,CL,2020-10-31 18:35:44,-37.62,-73.65,59.92,65,0,9.84
121,Cherskiy,RU,2020-10-31 18:35:44,68.75,161.3,8.06,88,86,3.42
122,Evensk,RU,2020-10-31 18:35:44,61.95,159.23,21.99,92,97,11.5
123,Zambezi,ZM,2020-10-31 18:35:45,-13.54,23.1,77.07,27,42,4.74
124,Beringovskiy,RU,2020-10-31 18:33:57,63.05,179.32,18.91,94,100,11.52
125,Fuyang,CN,2020-10-31 18:35:46,32.9,115.82,59.85,71,31,5.41
126,Paamiut,GL,2020-10-31 18:35:46,61.99,-49.67,28.13,89,73,15.46
127,Okha,RU,2020-10-31 18:35:46,53.57,142.95,34.99,88,100,8.19
128,Hilo,US,2020-10-31 18:35:46,19.73,-155.09,81.0,61,1,6.93
129,Nanortalik,GL,2020-10-31 18:33:28,60.14,-45.24,28.2,89,52,18.52
130,Hofn,IS,2020-10-31 18:35:47,64.25,-15.21,42.66,79,100,11.21
131,Carnarvon,AU,2020-10-31 18:35:47,-24.87,113.63,69.8,83,40,8.05
132,Muzhi,RU,2020-10-31 18:35:48,65.37,64.67,29.55,94,0,13.15
133,Chekmagush,RU,2020-10-31 18:35:48,55.13,54.66,39.97,84,100,5.99
134,Laje,BR,2020-10-31 18:35:48,-10.18,-40.97,86.43,42,65,3.2
135,Xiaolan,CN,2020-10-31 18:35:49,22.67,113.23,72.0,84,0,4.23
136,Fortuna,US,2020-10-31 18:35:49,40.6,-124.16,55.99,71,1,5.88
137,Kavaratti,IN,2020-10-31 18:35:49,10.57,72.64,82.56,66,0,2.55
138,Castro,BR,2020-10-31 18:35:50,-24.79,-50.01,60.67,77,96,8.21
139,San Patricio,US,2020-10-31 18:35:50,28.02,-97.52,78.01,50,40,3.69
140,Havre-Saint-Pierre,CA,2020-10-31 18:35:50,50.23,-63.6,30.2,68,0,25.28
141,Portland,US,2020-10-31 18:32:51,45.52,-122.68,50.0,75,20,5.82
142,Saskylakh,RU,2020-10-31 18:33:14,71.92,114.08,-5.17,83,2,6.38
143,Sao Joao Da Barra,BR,2020-10-31 18:33:54,-21.64,-41.05,71.6,94,90,20.8
144,Yellowknife,CA,2020-10-31 18:35:51,62.46,-114.35,19.99,92,90,17.22
145,Clyde River,CA,2020-10-31 18:35:52,70.47,-68.59,14.0,92,90,12.75
146,Ueno,JP,2020-10-31 18:35:52,34.75,136.13,53.01,80,97,3.36
147,Tocopilla,CL,2020-10-31 18:35:52,-22.09,-70.2,68.36,49,21,8.81
148,Sigiriya,LK,2020-10-31 18:35:52,7.95,80.74,74.44,86,100,2.01
149,Severnoye,RU,2020-10-31 18:35:53,56.35,78.36,31.91,97,99,11.36
150,Palmer,US,2020-10-31 18:35:53,42.16,-72.33,43.0,69,20,3.74
151,Pafos,CY,2020-10-31 18:35:54,34.77,32.42,66.2,72,40,4.7
152,Iqaluit,CA,2020-10-31 18:34:02,63.75,-68.51,19.4,79,90,4.7
153,Barrow,US,2020-10-31 18:35:55,71.29,-156.79,24.8,73,90,3.36
154,Elliot Lake,CA,2020-10-31 18:35:55,46.38,-82.63,39.2,64,90,24.16
155,Prainha,BR,2020-10-31 18:35:56,-1.8,-53.48,97.52,26,0,8.28
156,Moranbah,AU,2020-10-31 18:35:56,-22.0,148.05,68.58,39,0,2.17
157,Mehamn,NO,2020-10-31 18:35:57,71.04,27.85,33.4,94,100,12.73
158,Santa Cruz,BO,2020-10-31 18:35:57,-17.8,-63.17,89.6,24,20,18.34
159,Hobart,AU,2020-10-31 18:34:57,-42.88,147.33,55.4,66,90,6.93
160,Prospect,AU,2020-10-31 18:35:58,-34.88,138.59,48.0,87,20,3.36
161,Kodiak,US,2020-10-31 18:35:59,57.79,-152.41,32.0,87,1,4.7
